Name,Alternate Name,Abstract,Keywords,Source (organization),GN permalink,Image,CAT Beach Health,CAT Binational,CAT climatology,CAT Environmental,CAT habs,CAT Hydrologic,CAT Invasive Species,CAT Models,CAT Nearshore,CAT Nutrients,CAT observationsBuoys,CAT Other Resources,CAT QA / QC,CAT Satellite,CAT temperature,CAT water_quality
Grand Traverse Bay Observing System Station 2,Grand Traverse Bay Buoy GTBOSS2 (GTBM4) (Decommissioned - not active),"Decommissioned buoy in Lake Michigan Grand Traverse Bay, operated by the University of Michigan Marine Hydrodynamics Laboratory.",air temperature|wind speed/direction|air temperature|wind speed|wind from direction|NDBC ID GTBM4|GLOS|waves|buoys|observations|decommissioned|Grand Traverse Bay Observing System Station 2|Lake Michigan|Grand Traverse Bay|Great Lakes,University of Michigan Marine Hydrodynamics Laboratory,http://data.glos.us/metadata?uuid=25569832-9a54-41e4-94fa-4faa583fdc37,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=25569832-9a54-41e4-94fa-4faa583fdc37&fname=gtbm4_mini_sm_s.png,,,x,,,,,,,,X,,,,x,
Holland Buoy,Port Sheldon (Holland) buoy (45029),"GLOS in-situ buoy in Lake Michigan, between Grand Haven and Holland. Owned and maintained by LimnoTech.",air temperature|atmospheric pressure|significant wave height|wave period|wind speed/wind direction|dew point temperature|significant wave period|water temperature - surface|wind speed|wind from direction|air pressure at sea level|sea surface wave significant height|sea surface wind wave period|wind speed of gust|GLOS|NDBC ID 45029|waves|buoys|observations|Lake Michigan|Holland|Port Sheldon|MI|Great Lakes,LimnoTech  ,http://data.glos.us/metadata?uuid=461d9fec-4d48-49ba-946a-7f3614241105,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=461d9fec-4d48-49ba-946a-7f3614241105&fname=45029_sm_s.png,,,x,,,,,,,,X,,,,x,
leorgn,City of Oregon OH Pump Station (leorgn),"After lake water flows into the Low Pressure Pumping Station through the raw water intake line, the water is pumped to the water treatment plant on North Curtice Rd near Maumee Bay State Park. The pump station can be either locally or remotely operated by signals sent from the water treatment plant. The pumps located at the station range from 8 million gallons per day (MGD) to 17.2 MGD. Activated carbon is fed at this location to address taste and odor causing agents in the raw water. The building also contains an auxiliary power plant capable of generating total electrical power for the station. Since the onset of the Zebra Mussel infestation in Lake Erie, it is necessary to feed potassium permanganate to limit their growth in the intake conduit, the low pressure force main and the suction wells. ",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|turbidity|water quality|leorgn|City of Oregon|OH|HABs|Harmful Algal Blooms|GLOS|Lake Erie|Great Lakes,"City of Oregon, OH",http://data.glos.us/metadata?uuid=24d95510-9c9c-4126-adb6-590faebf2bb0,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=24d95510-9c9c-4126-adb6-590faebf2bb0&fname=sondes_sm_s.png,,,,,,,,,,,X,,,,,
Little Cedar Point,Little Cedar Point buoy (utlcp),"Researchers at the University's Lake Erie Center sensors monitor blue-green algae. Missions of the Center include researching environmental conditions in Maumee Bay and western Lake Erie as well as discerning linkages among land-use practices, water quality, habitat, economics, natural resources, sustainability, and environmental and public health. The UT HAB Buoy is sponsored by the Ohio Board of Regents and the University of Toledo. ",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|turbidity|water quality|dissolved gasses|utlcp|HABs|Harmful Algal Blooms|GLOS|dissolved oxygen saturation|University of Toledo|Lake Erie|Great Lakes|Little Cedar Point,University of Toledo,http://data.glos.us/metadata?uuid=02e401b4-79f0-4981-ad67-bd993080b655,,,,,,x,,,,,,X,,,,x,x
Marblehead Pump Station,Marblehead Pump Station (lemrbhd),"The Village of Marblehead public water system uses surface water drawn from an intake placed 550 feet out from shore in Lake Erie. The Board of Public Affairs and the Water Department are proud to be part of service to our community providing safe, high quality water 365 days a year. The village monitors and evaluates the water for biological and organic contaminants as required by the EPA.",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|water quality|lemrbhd|HABs|Harmful Algal Blooms|GLOS|Lake Erie|Great Lakes|Village of Marblehead,Village of Marblehead,http://data.glos.us/metadata?uuid=13961f4e-4ed6-47e7-a4cb-266acb485f37,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=13961f4e-4ed6-47e7-a4cb-266acb485f37&fname=sondes_sm_s.png,,,,,x,,,,,,X,,,,x,x
MTU Buoy,North Entry MTU buoy (45023),"GLOS in-situ buoy in Lake Superior North Keweenaw Peninsula, operated by Michigan Tech - Great Lakes Research Laboratory",atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|wind speed/wind direction|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45023|GLOS|MTU Buoy|buoys|waves|observations|Lake Superior|Keewenaw Waterway|MI|Portage Canal|Great Lakes,Michigan Tech University,http://data.glos.us/metadata?uuid=df2f09c6-d24c-4c2b-9f37-1300b84e1999,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=df2f09c6-d24c-4c2b-9f37-1300b84e1999&fname=45023_WaterWeatherBuoy_sm_s.png,,,x,,,,,,,,X,,,,x,
MTU1,South Entry buoy MTU1 (45025),"GLOS in-situ buoy in Lake Superior, South Entrance to Keweenaw Waterway, MI, operated by the Michigan Tech - Great Lakes Research Laboratory",atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/wind direction|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45025|GLOS|MTU1|waves|buoys|observations|Lake Superior|Keewenaw Waterway (South)|Great Lakes,Michigan Tech University,http://data.glos.us/metadata?uuid=ba54c35c-4271-40ba-94a5-35a7890e0c48,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=ba54c35c-4271-40ba-94a5-35a7890e0c48&fname=45025_IMG_4960_sm_s.png,,,x,,,,,,,,X,,,,x,
Muskegon Lake Buoy(GVSU),Muskegon Lake buoy (GVSU1),GVSU's Annis Water Resources Institute was awarded a 3-year grant from the US EPA Great Lakes Restoration Initiative Program to establish a buoy-based observatory in Muskegon Lake.,air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/wind direction|water quality|humidity|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|GVSU1|buoys|waves|observations|Lake Michigan|Muskegon|MI|Muskegon Lake|Great Lakes,Grand Valley State University,http://data.glos.us/metadata?uuid=7179ee32-7084-4460-92af-b16168ae3c41,,,,x,,,,,,,,X,,,,x,
NOAA GLERL WE2,NOAA GLERL WE2 (glerlwe2),"GLERL and CILER researchers are working to identify factors that influence harmful algal blooms (HABs) and to develop methods to forecast toxic cyanobacteria blooms. Research is focused on improving our ability to predict when algal blooms will occur, whether or not they are toxic, and their impact on human health. Field monitoring and observations collected by GLERL researchers keep track of nutrients at six master stations and two fixed moorings in western Lake Erie. The information gained from the field monitoring and observation assists in the development of probabilistic models for Lake Erie, which will be used to predict the magnitude of algal blooms while taking into account seasonal factors. GLERL and CILER's research and models support NOAA's National Centers for Coastal Ocean Science in monitoring and forecasting these harmful blooms through the the Harmful Algal Bloom Bulletin.",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|water quality|dissolved gasses|turbidity|glerlwe2|HABs|Harmful Algal Blooms|GLOS|dissolved oxygen|dissolved oxygen saturation|NOAA GLERL|Lake Erie|Great Lakes,"NOAA GLERL, University of Michigan - Cooperative  Institute for Limnology and Ecosystems Research  (CILER) ",http://data.glos.us/metadata?uuid=3fab4ec1-7983-41c4-98f7-4bb13231b167,,,,,,x,,,,,,X,,,,x,x
NOAA GLERL WE4,NOAA GLERL WE8 (glerlwe8),"GLERL and CILER researchers are working to identify factors that influence harmful algal blooms (HABs) and to develop methods to forecast toxic cyanobacteria blooms. Research is focused on improving our ability to predict when algal blooms will occur, whether or not they are toxic, and their impact on human health. Field monitoring and observations collected by GLERL researchers keep track of nutrients at six master stations and two fixed moorings in western Lake Erie. The information gained from the field monitoring and observation assists in the development of probabilistic models for Lake Erie, which will be used to predict the magnitude of algal blooms while taking into account seasonal factors. GLERL and CILER's research and models support NOAA's National Centers for Coastal Ocean Science in monitoring and forecasting these harmful blooms through the the Harmful Algal Bloom Bulletin.",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|water quality|dissolved gasses|turbidity|glerlwe4|HABs|Harmful Algal Blooms|GLOS|dissolved oxygen|dissolved oxygen saturation|NOAA GLERL|Lake Erie|Great Lakes,"NOAA GLERL, University of Michigan - Cooperative  Institute for Limnology and Ecosystems Research  (CILER) ",http://data.glos.us/metadata?uuid=3e3d8d19-fbfc-4a4d-b083-d48b4dbf818e,,,,,,x,,,,,,X,,,,x,x
NOAA GLERL WE8,NOAA GLERL WE8 (glerlwe8),"GLERL and CILER researchers are working to identify factors that influence harmful algal blooms (HABs) and to develop methods to forecast toxic cyanobacteria blooms. Research is focused on improving our ability to predict when algal blooms will occur, whether or not they are toxic, and their impact on human health. Field monitoring and observations collected by GLERL researchers keep track of nutrients at six master stations and two fixed moorings in western Lake Erie. The information gained from the field monitoring and observation assists in the development of probabilistic models for Lake Erie, which will be used to predict the magnitude of algal blooms while taking into account seasonal factors. GLERL and CILER's research and models support NOAA's National Centers for Coastal Ocean Science in monitoring and forecasting these harmful blooms through the the Harmful Algal Bloom Bulletin.",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|water quality|dissolved gasses|turbidity|glerlwe8|HABs|Harmful Algal Blooms|GLOS|dissolved oxygen|dissolved oxygen saturation|NOAA GLER|Lake Erie|Great Lakes,"NOAA GLERL, University of Michigan - Cooperative  Institute for Limnology and Ecosystems Research  (CILER) ",http://data.glos.us/metadata?uuid=9f4a657f-2648-49dd-917e-61c9c8205cea,,,,,,x,,,,,,X,,,,x,x
NOAA_RSC_A,Erie buoy RSC-A (45167),"In-situ buoy in Lake Erie near Presque Isle, operated by the Regional Science Consortium (RSC).",atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/wind direction|air pressure|waves|dew point|buoys|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45167|NOAA_RSC_A|observations|RSC-A|Lake Erie|Presque Isle|OH|Great Lakes,Regional Science Consortium,http://data.glos.us/metadata?uuid=886d7a21-12df-4441-8717-98f10b7385f7,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=886d7a21-12df-4441-8717-98f10b7385f7&fname=45167_img_3384_sm_s.png,,,x,,,,,,,,X,,,,x,
North Keeweenaw Waterway,,,,,,,,,x,,,,,,,,X,,,,x,
Oneida Lake Buoy (ESF6),Oneida Lake buoy (ESF6),"In-situ buoy in Oneida Lake. Owned and maintained by Great Lakes Research Consortium and the State University of New York, College of Environmental Science and Forestry",air temperature|significant wave height|wave period|water temperature|wind speed/wind direction|atmospheric pressure|dew point temperature|significant wave period|water temperature - surface|wind speed|wind from direction|air pressure at sea level|sea surface wave significant height|sea surface wind wave period|wind speed of gust|ESF6|buoys|waves|observations|Lake Oneida|Great Lakes,"State University of New York College of Environmental Science and Forestry (SUNY-ESF), Great Lakes Research  Consortium ",http://data.glos.us/metadata?uuid=3802e73a-80a7-4d1a-89fd-54fcf09b7130,,,,x,,,,,,,,X,,,,x,
Oneida Lake Weather Station (ESF7),Oneida Lake Weather Station (ESF7),"Stationary weather station in Oneida Lake. Owned and maintained by Great Lakes Research Consortium and the State University of New York, College of Environmental Science and Forestry",air temperature|wind speed/wind direction|dew point temperature|wind speed|wind from direction|weather|observations|ESF7|Oneida Lake|Great Lakes,"State University of New York College of Environmental Science and Forestry (SUNY-ESF), Great Lakes Research  Consortium ",http://data.glos.us/metadata?uuid=c7230789-c800-42b8-90bb-94aaba973f57,,,,x,,,,,,,,X,,,,x,
"Oswego Buoy, Lake Ontario (ESF1)",Oswego buoy (ESF1),"In-situ buoy in Lake Ontario, Oswego. Owned and maintained by Great Lakes Research Consortium and the State University of New York, College of Environmental Science and Forestry",air temperature|significant wave height|wave period|water temperature|wind speed/wind direction|atmospheric pressure|dew point temperature|significant wave period|water temperature - surface|wind speed|wind from direction|air pressure at sea level|sea surface wave significant height|sea surface wind wave period|wind speed of gust|ESF1|buoys|waves|observations|Lake Ontario|Oswego|Great Lakes,"State University of New York College of Environmental Science and Forestry (SUNY-ESF), Great Lakes Research  Consortium ",http://data.glos.us/metadata?uuid=562f9b89-5232-450f-9b0f-d96cb29a5c8e,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=562f9b89-5232-450f-9b0f-d96cb29a5c8e&fname=ESF_1_sm_s.png,,,x,,,,,,,,X,,,,x,
Ottawa County Pump Station,Ottawa County Pump Station (leoc),"The Ottawa County Regional Water Treatment Plant radio telemetry system provides data communications between our elevated tanks, raw water pump station and the water plant. Monitoring of turbidity, particle counting and streaming current has been provided to enhance compliance with present and future water regulations. ",water temperature|ph|conductivity|cyanobacteria (blue-green algae)|chlorophyll|water quality|leoc|HABs|Harmful Algal Blooms|GLOS|Lake Erie|Great Lakes|Ottawa County|OH|Great Lakes,Ottawa County Regional Water Treatment Plant,http://data.glos.us/metadata?uuid=382b22c6-ff17-488b-8921-1d2dbf800ee5,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=382b22c6-ff17-488b-8921-1d2dbf800ee5&fname=sondes_sm_s.png,,,,,x,,,,,,X,,,,x,x
RECON Alpena-Thunder Bay Buoy,Alpena Thunder Bay RECON buoy (45162),"In-situ buoy in Lake Michigan, Alpena (Thunder Bay), operated by NOAA, Great Lakes Environmental Research Laboratory (GLERL).","atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/wind direction|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45162|GLERL|waves|buoys|observations|Lake Michigan|Alpena|MI|Thunder Bay,MI|Great Lakes",NOAA GLERL,http://data.glos.us/metadata?uuid=3f6216e2-38ae-41cd-8e42-41720633f272,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=3f6216e2-38ae-41cd-8e42-41720633f272&fname=45162photo-apn_sm_s.png,,,x,,,,,,,,X,,,,x,
RECON Erie-Cleveland(CLV),Cleveland RECON buoy (45164),In-situ buoy in Lake Erie near Cleveland. This buoy is funded through a grant administered by Great Lakes Observing System and the NOAA Great Lakes Environmental Research Laboratory through the USEPA Great Lakes Restorative Initiative. LimnoTech deploys and maintains this station using the grant dollars. This buoy is located approximately 15 miles from shore in 75 feet of water.,sea surface height|wave speed/direction|significant wave height|wave height|wave period|atmospheric pressure|air temperature|dew point temperature|wind speed/wind direction|dissolved gasses|water temperature|conductivity|water quality|air pressure|dew point|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45164|GLERL|dissolved oxygen|dissolved oxygen saturation|HABs|Harmful Algal Blooms|waves|buoys|observations|Lake Erie|Cleveland|OH|Great Lakes,NOAA GLERL,http://data.glos.us/metadata?uuid=7dbd3aff-6a90-4237-9394-e36e17f1ddfa,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=7dbd3aff-6a90-4237-9394-e36e17f1ddfa&fname=45164_sm_s.png,,,x,,,,,,,,X,,,,x,
RECON Huron-Saginaw Bay Buoy(SBB),Saginaw Bay RECON buoy SBB (45163),"In-situ buoy in Lake Huron, Saginaw Bay, operated by NOAA, Great Lakes Environmental Research Laboratory (GLERL).",atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/wind direction|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45163|GLERL|waves|buoys|observations|Lake Huron|Saginaw Bay|MI|Great Lakes,NOAA GLERL,http://data.glos.us/metadata?uuid=429b3153-0c64-4a09-842d-790ab18a91b1,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=429b3153-0c64-4a09-842d-790ab18a91b1&fname=photo-sbb_sm_s.png,,,x,,,,,,,,X,,,,x,
RECON Michigan-Muskegon,Muskegon RECON buoy (45161),"In-situ buoy in Lake Michigan, Muskegon, operated by NOAA, Great Lakes Environmental Research Laboratory (GLERL).",atmospheric pressure|air temperature|dew point temperature|significant wave height|wave period|water temperature|wind speed/wind direction|air pressure|dew point|significant wave period|water temperature - surface|wind speed|wind gust|wind from direction|thermistor|NDBC ID 45161|GLERL|waves|buoys|observations|Lake Michigan|Muskegon|MI|Great Lakes,NOAA GLERL,http://data.glos.us/metadata?uuid=1a7b45b7-562d-43a1-a95e-d536a0340c39,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=1a7b45b7-562d-43a1-a95e-d536a0340c39&fname=45161_sm_s.png,,,x,,,,,,,,X,,,,x,
Sandusky Bay,Sandusky Bay buoy (bgsusd),Nexsens buoy deployed at the Sandusky Bay Island Water Works intake.,ph|water temperature|conductivity|cyanobacteria (blue-green algae)|chlorophyll|turbidity|water quality|dissolved gasses|bgsusd|HABs|Harmful Algal Blooms|Water intake|BGSU|GLOS|dissolved oxygen|dissolved oxygen saturation|Lake Erie|Great Lakes|Sandusky Bay,Bowling Green State University,http://data.glos.us/metadata?uuid=4d80205f-433f-4b65-8d9b-34f4bec1ac04,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=e3567cc2-1087-443d-a25b-b993d1778187&fname=sondes_sm_s.png,,,,,,,,,,,X,,,,,
Sodus Bay Center(ESF5),Sodus Bay Center buoy (ESF5),"In-situ buoy in Lake Ontario. Owned and maintained by Great Lakes Research Consortium and the State University of New York, College of Environmental Science and Forestry",air temperature|significant wave height|wave period|water temperature|wind speed/wind direction|atmospheric pressure|dew point temperature|significant wave period|water temperature - surface|wind speed|wind from direction|air pressure at sea level|sea surface wave significant height|sea surface wind wave period|wind speed of gust|ESF5|buoys|waves|observations|Lake Ontario|Sodus Bay|Great Lakes,"State University of New York College of Environmental Science and Forestry (SUNY-ESF), Great Lakes Research  Consortium ",http://data.glos.us/metadata?uuid=7f6d6492-93d9-42e3-89c3-2757c59d1614,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=7f6d6492-93d9-42e3-89c3-2757c59d1614&fname=Sodus-Central3-small_sm_s.png,,,x,,,,,,,,X,,,,x,
Sodus Bay South(ESF2),Sodus Bay South buoy (ESF2),"In-situ buoy in Lake Ontario. Owned and maintained by Great Lakes Research Consortium and the State University of New York, College of Environmental Science and Forestry",air temperature|significant wave height|wave period|water temperature|wind speed/wind direction|atmospheric pressure|dew point temperature|significant wave period|water temperature - surface|wind speed|wind from direction|air pressure at sea level|sea surface wave significant height|sea surface wind wave period|wind speed of gust|ESF2|buoys|waves|observations|Lake Ontario|Sodus Bay|Great Lakes,"State University of New York College of Environmental Science and Forestry (SUNY-ESF), Great Lakes Research  Consortium ",http://data.glos.us/metadata?uuid=23836466-294b-479e-bb61-151df48f44c4,http://data.glos.us:80/metadata/srv/eng/resources.get?uuid=23836466-294b-479e-bb61-151df48f44c4&fname=ESF_2_sm_s.png,,,x,,,,,,,,X,,,,x,
